scientific,common,acronym,spcd,pft,PalEON,scientific_name
Abies,fir spp.,ABSP,10,MC,Fir,Abies
Abies balsamea,Balsam fir,ABBA,12,LC,Fir,Abies_balsamea
Abies concolor,white fir,ABCO,15,MC,Fir,Abies_concolor
Abies fraseri,Fraser fir,ABFR,16,MC,Fir,Abies_fraseri
Acer,Maple,ACER,310,LH,Maple,Acer
Acer barbatum,Florida maple,ACBA3,311,LH,Maple,Acer_barbatum
Acer leucoderme,chalk maple,ACLE,323,LH,Maple,Acer_leucoderme
Acer negundo,boxelder,ACNE2,313,LH,Maple,Acer_negundo
Acer nigrum,black maple,ACNI5,314,LH,Maple,Acer_nigrum
Acer pensylvanicum,striped maple,ACPE,315,LH,Maple,Acer_pensylvanicum
Acer platanoides,Norway maple,ACPL,320,LH,Maple,Acer_platanoides
Acer rubrum,red maple  ,ACRU,316,LH,Maple,Acer_rubrum
Acer saccharinum,silver maple,ACSA2,317,LH,Maple,Acer_saccharinum
Acer saccharum,sugar maple  ,ACSA3,318,LH,Maple,Acer_saccharum
Acer spicatum,mountain maple,ACSP2,319,LH,Maple,Acer_spicatum
Aesculus,buckeye,AESCU,330,LH,Buckeye,Aesculus
Aesculus flava,yellow buckeye,AEFL,332,LH,Buckeye,Aesculus_flava
Aesculus glabra,Ohio buckeye,AEGL,331,LH,Buckeye,Aesculus_glabra
Aesculus glabra var arguta,Texas buckeye,AEGLA,334,LH,Buckeye,Aesculus_glabra_var_arguta
Ailanthus altissima,ailanthus,AIAL,341,EH,Other hardwood,Ailanthus_altissima
Albizia julibrissin,mimosa,ALJU,345,EH,Other hardwood,Albizia_julibrissin
Alnus glutinosa,European alder,ALGL2,355,LH,Alder,Alnus_glutinosa
Alnus spp,alder,ALNUS,350,EH,Alder,Alnus_spp
Amelanchier ,serviceberry,AMELA,356,NMH,Other hardwood,Amelanchier
Amelanchier arborea,Downy serviceberry,AMAR3,357,NMH,Other hardwood,Amelanchier_arborea
Asimina triloba,pawpaw,ASTR,367,SMH,Other hardwood,Asimina_triloba
Avicennia germinans,Black-mangrove,AVGE,986,Evergreen,,Avicennia_germinans
Betula  ,Birch,BETUL,370,EH,Birch,Betula__
Betula alleganiensis,yellow birch,BEAL2,371,EH,Birch,Betula_alleganiensis
Betula lenta,sweet birch,BELE,372,EH,Birch,Betula_lenta
Betula nigra,river birch,BENI,373,EH,Birch,Betula_nigra
Betula papyrifera,paper birch  ,BEPA,375,EH,Birch,Betula_papyrifera
Betula populifolia,gray birch  ,BEPO,379,EH,Birch,Betula_populifolia
Bumelia lanuginosa,Gum Bumelia,BUML,,EH,Other hardwood,Bumelia_lanuginosa
Bursera simaruba,gumbo limbo,BUSI,854,EH,Other hardwood,Bursera_simaruba
Carpinus caroliniana,hornbeam,CACA18,391,LH,Ironwood,Carpinus_caroliniana
Carya alba,mockernut hickory,CAAL27,409,SMH,Hickory,Carya_alba
Carya aquatica,water hickory,CAAQ2,401,Hydric,Hickory,Carya_aquatica
Carya carolinae-septentrionalis,southern shagbark hickory,CACA38,413,SMH,Hickory,Carya_carolinae-septentrionalis
Carya cordiformis,bitternut hickory,CACO15,402,NMH,Hickory,Carya_cordiformis
Carya glabra,pignut hickory ,CAGL8,403,SMH,Hickory,Carya_glabra
Carya illinoensis,pecan,CAIL2,404,SMH,Hickory,Carya_illinoensis
Carya laciniosa,shellbark hickory,CALA21,405,SMH,Hickory,Carya_laciniosa
Carya myristiciformis,nutmeg hickory,CAMY,406,SMH,Hickory,Carya_myristiciformis
Carya ovalis,red hickory,CAOV3,412,NMH,Hickory,Carya_ovalis
Carya ovata,shagbark hickory,CAOV2,407,NMH,Hickory,Carya_ovata
Carya pallida,sand hickory,CAPA24,410,SMH,Hickory,Carya_pallida
Carya sp,hickory,CARYA,400,NMH,Hickory,Carya_spp
Carya texana,black hickory,CATE9,408,SMH,Hickory,Carya_texana
Carya tomentosa,hickory,CATO,,SMH,Hickory,Carya_tomentosa
Castanea dentata,American chestnut,CADE12,421,LH,Other hardwood,Castanea_dentata
Castanea mollissima,chinese chestnut,CAMO83,424,SMH,,Castanea_mollissima
Castanea pumila,Chinkapin,CAPU9,422,SMH,,Castanea_pumila
Castanea pumila var ozarkensis,Ozark chinkapin,CAPUO,423,SMH,,Castanea_pumila_var_ozarkensis
Casuarina lepidophloia,belah,CALE28,857,Evergreen,,Casuarina_lepidophloia
Catalpa,catalpa,CATAL,450,EH,Other hardwood,Catalpa
Catalpa bignoniodes,southern catalpa,CABI8,451,EH,Other hardwood,Catalpa_bignoniodes
Catalpa speciosa,northern catalpa,CASP8,452,EH,Other hardwood,Catalpa_speciosa
Celtis,hackberry,CELTI,460,SMH,Hackberry,Celtis
Celtis laevigata,sugarberry,CELA,461,SMH,Hackberry,Celtis_laevigata
Celtis laevigata var reticulata,netleaf hackberry,CELAR,463,NMH,Hackberry,Celtis_laevigata_var_reticulata
Celtis occidentalis,hackberry,CEOC,462,NMH,Hackberry,Celtis_occidentalis
Cercis canadensis,eastern redbud,CECA4,471,SMH,Other hardwood,Cercis_canadensis
Chamaecyparis thyoides,Atlantic white-cedar,CHTH2,43,LC,Cedar/juniper,Chamaecyparis_thyoides
Cinnamomum camphora,camphor tree,CICA,858,Evergreen,,Cinnamomum_camphora
Citrus,Citrus,CITRU2,860,Hydric,Other hardwood,Citrus
Cladrastis kentukea,yellowwood,CLKE,481,NMH,Other hardwood,Cladrastis_kentukea
Conocarpus erectus,buttonwood mangrove,COER2,987,Evergreen,,Conocarpus_erectus
Cornus florida,Flowering dogwood,COFL2,491,LH,Dogwood,Cornus_florida
Cotinus obovatus,smoketree,COOB2,996,SMH,Other hardwood,Cotinus_obovatus
Crataegus,hawthorn,CRATA,500,NMH,Other hardwood,Crataegus
Crataegus crus-galli,cockspur hawthorn,CRCR2,501,NMH,Other hardwood,Crataegus_crus-galli
Crataegus mollis,downy hawthorn,CRMO2,502,NMH,Other hardwood,Crataegus_mollis
Diospyros,persimmon,DIOSP,520,LH,Other hardwood,Diospyros
Diospyros virginiana,common persimmon,DIVI5,521,LH,Other hardwood,Diospyros_virginiana
Elaeagnus angustifolia,Russian-olive,ELAN,997,EH,Other hardwood,Elaeagnus_angustifolia
Eucalyptus,eucalyptus,EUCAL,510,Evergreen,Other hardwood,Eucalyptus
Eucalyptus grandis,grand eucalyptus,EUGR12,513,Evergreen,Other hardwood,Eucalyptus_grandis
Eugenia rhombea,red stopper,EURH,873,Hydric,Other hardwood,Eugenia_rhombea
